2731,76,2578
2537,101,141
100,101,2537
3494,3255,2054
3254,4699,4938
3015,3254,4938
119,100,118
162,2560,80
144,2554,96
143,97,100
2552,103,95
102,2553,145
118,101,117
141,101,118
2553,95,145
849,1087,848
4458,3494,3495
4698,5898,4699
4698,5899,5898
2539,115,116
2539,103,115
96,2553,102
101,102,2538
96,102,101
144,96,101
95,94,2552
95,96,79
80,2561,94
73,57,184
2540,114,115
4459,4698,3494
3255,3494,4698
601,600,608
125,115,358
1815,1814,3495
9023,6863,6862
103,2540,115
102,103,2539
1815,3495,3494
6139,7103,6138
8062,8063,10466
7102,7103,6139
116,115,125
363,361,604
10489,8019,8040
4459,6138,5899
4698,4459,5899
4458,6139,6138
4459,4458,6138
3254,2054,3255
2055,2054,3254
114,357,126
4219,3495,3734
117,116,124
116,102,2539
116,125,359
364,123,360
604,361,364
604,2054,2055
1815,3494,2054
366,358,601
605,846,1815
605,603,846
8062,7823,8063
8062,5397,7823
7822,8302,8063
360,123,117
124,360,117
361,123,364
603,360,365
365,360,124
365,124,359
12869,12868,13591
844,849,848
9986,9747,11187
845,844,848
846,603,606
848,847,845
5397,5201,2752
1298,3965,1342
607,606,602
842,843,609
6379,6378,4219
1088,847,848
1088,1573,847
1814,3734,3495
1088,1572,1573
1086,1087,849
1573,1814,847
846,847,1814
846,845,847
4218,6379,4219
1093,1092,1084
849,850,1086
843,844,608
366,359,125
603,365,606
851,850,842
4458,3495,4219
359,366,602
849,844,843
4218,3735,3977
7867,5374,7866
10595,10596,13216
10595,10577,10596
369,368,356
128,356,127
1088,848,1087
365,602,606
365,359,602
607,366,601
602,366,607
607,844,845
607,845,606
114,127,357
601,358,367
357,127,356
367,368,600
367,600,601
854,1083,853
854,1082,1083
3974,3978,3975
370,598,369
356,355,369
599,368,369
369,355,370
354,355,129
129,355,128
1573,1572,3735
599,598,610
609,600,599
609,843,608
615,838,614
600,609,608
1324,1096,1097
355,356,128
1322,1323,1098
8062,7844,5397
1583,1101,1077
1088,1087,1089
1572,1088,1089
1090,1089,1087
1087,1086,1090
5266,5332,5331
6611,6630,6612
6629,6612,6630
849,843,850
1333,3974,3975
6619,6621,6620
1573,3735,3734
98,2555,143
114,2541,113
113,105,2542
104,2541,114
6378,6139,4458
6379,6621,6862
6619,6622,6621
128,127,113
115,114,126
9023,9022,6863
358,115,126
4219,6378,4458
6379,6862,6378
6863,6378,6862
6378,6863,7102
6378,7102,6139
10488,10685,10489
5898,7582,5659
7343,7582,5898
8041,10467,10488
8019,7866,8040
5201,5397,7844
12868,13830,13591
10466,10946,10707
4938,5659,5658
4939,4938,5658
13371,13590,13570
5179,2774,2775
5178,5179,2775
96,97,78
96,2554,97
78,97,164
2752,2578,77
33,32,208
2578,5201,2731
2686,2687,5265
93,104,2551
105,104,93
2553,96,95
79,163,2559
2560,95,79
79,166,74
5899,7342,7343
79,74,80
2560,79,80
2551,104,94
9022,8783,6863
8783,7102,6863
96,163,79
7103,7102,8782
8782,7102,8783
162,95,2560
7103,8782,8543
5899,6138,7342
79,78,75
79,2559,78
7342,6138,7103
56,75,186
78,76,165
7343,8542,8303
7582,7343,8303
5223,2709,2600
7342,8542,7343
7342,8543,8542
10227,10946,10466
7866,5374,5375
2752,5201,2578
11426,12389,11187
2686,5266,2666
9986,8782,9747
75,78,165
1298,1319,1100
9986,9987,8543
53,187,33
2730,55,2579
2731,2579,76
11875,11896,9297
9987,8542,8543
209,32,11
2687,2623,2622
186,55,54
7845,8041,8040
7866,7845,8040
10510,8018,10509
10684,10509,10489
2579,55,76
10509,8019,10489
7998,7888,7887
10684,10664,10509
2687,5245,5265
5201,5396,2731
10946,10227,10947
10707,13108,10706
4939,5658,5419
5178,4939,5419
10488,10706,10685
10706,10467,10707
10488,10467,10706
8542,10226,8303
8542,9987,10226
97,2555,98
77,97,98
8062,8041,7844
7844,8041,7845
8063,8302,10227
13108,13351,13109
10685,13109,13130
10706,13108,13109
10706,13109,10685
7867,7866,8019
10467,8041,8062
10467,8062,10466
851,1085,850
1084,851,852
10466,10707,10467
10466,8063,10227
10946,12868,12869
5222,5396,7845
5222,7845,5375
2775,3014,5178
4939,5178,3014
2731,5222,2579
55,75,165
77,164,97
7823,5397,5200
7823,7822,8063
5397,2752,5200
5396,5201,7844
2753,5200,2557
